Start runing encode (mbh, keyframe-5, devel2013, 1, 33) at 13-Sep-2013 11:06:17
Start runing encode (mbh, keyframe-5, devel2013, 34, 66) at 13-Sep-2013 11:06:57
Start runing encode (mbh, keyframe-5, devel2013, 67, 99) at 13-Sep-2013 11:07:27
Start runing encode (mbh, keyframe-5, devel2013, 100, 132) at 13-Sep-2013 11:07:29
Start runing encode (mbh, keyframe-5, devel2013, 133, 165) at 13-Sep-2013 11:07:57
Start runing encode (mbh, keyframe-5, devel2013, 166, 198) at 13-Sep-2013 11:08:13
Start runing encode (mbh, keyframe-5, devel2013, 199, 231) at 13-Sep-2013 11:08:27
Start runing encode (mbh, keyframe-5, devel2013, 232, 264) at 13-Sep-2013 11:08:44
Start runing encode (mbh, keyframe-5, devel2013, 265, 297) at 13-Sep-2013 11:08:44
Start runing encode (mbh, keyframe-5, devel2013, 364, 396) at 13-Sep-2013 11:09:27
Start runing encode (mbh, keyframe-5, devel2013, 298, 330) at 13-Sep-2013 11:09:27
Start runing encode (mbh, keyframe-5, devel2013, 397, 429) at 13-Sep-2013 11:09:57
Start runing encode (mbh, keyframe-5, devel2013, 430, 462) at 13-Sep-2013 11:10:13
Start runing encode (mbh, keyframe-5, devel2013, 463, 495) at 13-Sep-2013 11:10:13
Start runing encode (mbh, keyframe-5, devel2013, 496, 528) at 13-Sep-2013 11:11:13
Start runing encode (mbh, keyframe-5, devel2013, 529, 561) at 13-Sep-2013 11:12:13
Start runing encode (mbh, keyframe-5, devel2013, 562, 594) at 13-Sep-2013 11:15:15
Start runing encode (mbh, keyframe-5, devel2013, 595, 627) at 13-Sep-2013 11:15:31
Finish runing encode (mbh, keyframe-5, devel2013, 166, 198) at 13-Sep-2013 11:15:33
Start runing encode (mbh, keyframe-5, devel2013, 628, 660) at 13-Sep-2013 11:15:59
Start runing encode (mbh, keyframe-5, devel2013, 661, 693) at 13-Sep-2013 11:16:42
Finish runing encode (mbh, keyframe-5, devel2013, 67, 99) at 13-Sep-2013 11:16:49
Start runing encode (mbh, keyframe-5, devel2013, 694, 726) at 13-Sep-2013 11:16:59
Finish runing encode (mbh, keyframe-5, devel2013, 199, 231) at 13-Sep-2013 11:17:11
Start runing encode (mbh, keyframe-5, devel2013, 727, 759) at 13-Sep-2013 11:17:28
Start runing encode (mbh, keyframe-5, devel2013, 760, 792) at 13-Sep-2013 11:17:30
Finish runing encode (mbh, keyframe-5, devel2013, 34, 66) at 13-Sep-2013 11:17:47
Start runing encode (mbh, keyframe-5, devel2013, 793, 825) at 13-Sep-2013 11:17:58
Start runing encode (mbh, keyframe-5, devel2013, 826, 858) at 13-Sep-2013 11:18:13
Finish runing encode (mbh, keyframe-5, devel2013, 463, 495) at 13-Sep-2013 11:18:21
Start runing encode (mbh, keyframe-5, devel2013, 859, 891) at 13-Sep-2013 11:18:28
Finish runing encode (mbh, keyframe-5, devel2013, 133, 165) at 13-Sep-2013 11:18:30
Finish runing encode (mbh, keyframe-5, devel2013, 331, 363) at 13-Sep-2013 11:18:35
Start runing encode (mbh, keyframe-5, devel2013, 892, 924) at 13-Sep-2013 11:18:43
Start runing encode (mbh, keyframe-5, devel2013, 925, 957) at 13-Sep-2013 11:19:27
Start runing encode (mbh, keyframe-5, devel2013, 958, 990) at 13-Sep-2013 11:19:27
Finish runing encode (mbh, keyframe-5, devel2013, 265, 297) at 13-Sep-2013 11:20:01
Start runing encode (mbh, keyframe-5, devel2013, 1057, 1089) at 13-Sep-2013 11:20:12
Start runing encode (mbh, keyframe-5, devel2013, 1024, 1056) at 13-Sep-2013 11:20:13
Start runing encode (mbh, keyframe-5, devel2013, 991, 1023) at 13-Sep-2013 11:20:13
Finish runing encode (mbh, keyframe-5, devel2013, 298, 330) at 13-Sep-2013 11:20:54
Start runing encode (mbh, keyframe-5, devel2013, 1090, 1122) at 13-Sep-2013 11:20:58
Start runing encode (mbh, keyframe-5, devel2013, 1123, 1155) at 13-Sep-2013 11:22:28
Start runing encode (mbh, keyframe-5, devel2013, 1156, 1188) at 13-Sep-2013 11:23:01
Start runing encode (mbh, keyframe-5, devel2013, 1189, 1221) at 13-Sep-2013 11:23:16
Finish runing encode (mbh, keyframe-5, devel2013, 1, 33) at 13-Sep-2013 11:23:27
Finish runing encode (mbh, keyframe-5, devel2013, 430, 462) at 13-Sep-2013 11:23:38
Start runing encode (mbh, keyframe-5, devel2013, 1222, 1254) at 13-Sep-2013 11:23:43
Finish runing encode (mbh, keyframe-5, devel2013, 364, 396) at 13-Sep-2013 11:24:12
Start runing encode (mbh, keyframe-5, devel2013, 1255, 1287) at 13-Sep-2013 11:24:13
Start runing encode (mbh, keyframe-5, devel2013, 1288, 1320) at 13-Sep-2013 11:24:42
Finish runing encode (mbh, keyframe-5, devel2013, 595, 627) at 13-Sep-2013 11:25:12
Finish runing encode (mbh, keyframe-5, devel2013, 628, 660) at 13-Sep-2013 11:25:27
Start runing encode (mbh, keyframe-5, devel2013, 1354, 1386) at 13-Sep-2013 11:25:28
Start runing encode (mbh, keyframe-5, devel2013, 1321, 1353) at 13-Sep-2013 11:25:29
Start runing encode (mbh, keyframe-5, devel2013, 1387, 1419) at 13-Sep-2013 11:25:43
Finish runing encode (mbh, keyframe-5, devel2013, 100, 132) at 13-Sep-2013 11:25:53
Start runing encode (mbh, keyframe-5, devel2013, 1453, 1485) at 13-Sep-2013 11:25:58
Start runing encode (mbh, keyframe-5, devel2013, 1486, 1518) at 13-Sep-2013 11:25:59
Start runing encode (mbh, keyframe-5, devel2013, 1420, 1452) at 13-Sep-2013 11:25:59
Start runing encode (mbh, keyframe-5, devel2013, 1519, 1551) at 13-Sep-2013 11:26:42
Start runing encode (mbh, keyframe-5, devel2013, 1552, 1584) at 13-Sep-2013 11:27:00
Finish runing encode (mbh, keyframe-5, devel2013, 793, 825) at 13-Sep-2013 11:27:21
Finish runing encode (mbh, keyframe-5, devel2013, 859, 891) at 13-Sep-2013 11:27:22
Start runing encode (mbh, keyframe-5, devel2013, 1585, 1617) at 13-Sep-2013 11:27:28
Start runing encode (mbh, keyframe-5, devel2013, 1618, 1650) at 13-Sep-2013 11:27:43
Finish runing encode (mbh, keyframe-5, devel2013, 1024, 1056) at 13-Sep-2013 11:28:08
Finish runing encode (mbh, keyframe-5, devel2013, 1156, 1188) at 13-Sep-2013 11:28:13
Start runing encode (mbh, keyframe-5, devel2013, 1651, 1683) at 13-Sep-2013 11:28:14
Start runing encode (mbh, keyframe-5, devel2013, 1684, 1716) at 13-Sep-2013 11:28:42
Start runing encode (mbh, keyframe-5, devel2013, 1717, 1749) at 13-Sep-2013 11:28:43
Finish runing encode (mbh, keyframe-5, devel2013, 991, 1023) at 13-Sep-2013 11:28:54
Start runing encode (mbh, keyframe-5, devel2013, 1783, 1815) at 13-Sep-2013 11:28:58
Start runing encode (mbh, keyframe-5, devel2013, 1816, 1848) at 13-Sep-2013 11:28:59
Finish runing encode (mbh, keyframe-5, devel2013, 1123, 1155) at 13-Sep-2013 11:29:10
Start runing encode (mbh, keyframe-5, devel2013, 1882, 1914) at 13-Sep-2013 11:29:27
Start runing encode (mbh, keyframe-5, devel2013, 1849, 1881) at 13-Sep-2013 11:29:28
Finish runing encode (mbh, keyframe-5, devel2013, 727, 759) at 13-Sep-2013 11:29:39
Start runing encode (mbh, keyframe-5, devel2013, 1948, 1980) at 13-Sep-2013 11:30:12
Start runing encode (mbh, keyframe-5, devel2013, 1915, 1947) at 13-Sep-2013 11:30:12
Finish runing encode (mbh, keyframe-5, devel2013, 661, 693) at 13-Sep-2013 11:30:26
Start runing encode (mbh, keyframe-5, devel2013, 1981, 2013) at 13-Sep-2013 11:30:28
Start runing encode (mbh, keyframe-5, devel2013, 2014, 2046) at 13-Sep-2013 11:30:43
Finish runing encode (mbh, keyframe-5, devel2013, 529, 561) at 13-Sep-2013 11:31:02
Start runing encode (mbh, keyframe-5, devel2013, 2047, 2079) at 13-Sep-2013 11:31:29
Finish runing encode (mbh, keyframe-5, devel2013, 826, 858) at 13-Sep-2013 11:31:33
Finish runing encode (mbh, keyframe-5, devel2013, 1618, 1650) at 13-Sep-2013 11:31:37
Start runing encode (mbh, keyframe-5, devel2013, 2080, 2112) at 13-Sep-2013 11:31:43
Start runing encode (mbh, keyframe-5, devel2013, 2113, 2145) at 13-Sep-2013 11:31:43
Finish runing encode (mbh, keyframe-5, devel2013, 760, 792) at 13-Sep-2013 11:31:46
Finish runing encode (mbh, keyframe-5, devel2013, 496, 528) at 13-Sep-2013 11:31:47
Start runing encode (mbh, keyframe-5, devel2013, 2146, 2178) at 13-Sep-2013 11:31:58
Finish runing encode (mbh, keyframe-5, devel2013, 694, 726) at 13-Sep-2013 11:32:30
Start runing encode (mbh, keyframe-5, devel2013, 2179, 2211) at 13-Sep-2013 11:32:30
Finish runing encode (mbh, keyframe-5, devel2013, 562, 594) at 13-Sep-2013 11:32:39
Start runing encode (mbh, keyframe-5, devel2013, 2212, 2244) at 13-Sep-2013 11:32:43
Start runing encode (mbh, keyframe-5, devel2013, 2245, 2277) at 13-Sep-2013 11:32:44
Finish runing encode (mbh, keyframe-5, devel2013, 397, 429) at 13-Sep-2013 11:32:57
Finish runing encode (mbh, keyframe-5, devel2013, 1453, 1485) at 13-Sep-2013 11:33:03
Finish runing encode (mbh, keyframe-5, devel2013, 1684, 1716) at 13-Sep-2013 11:33:10
Start runing encode (mbh, keyframe-5, devel2013, 2311, 2343) at 13-Sep-2013 11:33:12
Start runing encode (mbh, keyframe-5, devel2013, 2278, 2310) at 13-Sep-2013 11:33:13
Start runing encode (mbh, keyframe-5, devel2013, 2344, 2376) at 13-Sep-2013 11:33:30
Start runing encode (mbh, keyframe-5, devel2013, 2377, 2409) at 13-Sep-2013 11:33:42
Finish runing encode (mbh, keyframe-5, devel2013, 1915, 1947) at 13-Sep-2013 11:33:44
Finish runing encode (mbh, keyframe-5, devel2013, 1981, 2013) at 13-Sep-2013 11:33:52
Finish runing encode (mbh, keyframe-5, devel2013, 1849, 1881) at 13-Sep-2013 11:33:56
Start runing encode (mbh, keyframe-5, devel2013, 2476, 2508) at 13-Sep-2013 11:33:57
Start runing encode (mbh, keyframe-5, devel2013, 2443, 2475) at 13-Sep-2013 11:33:58
Finish runing encode (mbh, keyframe-5, devel2013, 892, 924) at 13-Sep-2013 11:34:05
Finish runing encode (mbh, keyframe-5, devel2013, 1651, 1683) at 13-Sep-2013 11:34:07
Start runing encode (mbh, keyframe-5, devel2013, 2509, 2541) at 13-Sep-2013 11:34:13
Finish runing encode (mbh, keyframe-5, devel2013, 1387, 1419) at 13-Sep-2013 11:34:23
Finish runing encode (mbh, keyframe-5, devel2013, 232, 264) at 13-Sep-2013 11:34:39
Start runing encode (mbh, keyframe-5, devel2013, 2575, 2607) at 13-Sep-2013 11:34:43
Start runing encode (mbh, keyframe-5, devel2013, 2542, 2574) at 13-Sep-2013 11:34:43
Finish runing encode (mbh, keyframe-5, devel2013, 1717, 1749) at 13-Sep-2013 11:34:44
Finish runing encode (mbh, keyframe-5, devel2013, 1420, 1452) at 13-Sep-2013 11:34:48
Finish runing encode (mbh, keyframe-5, devel2013, 1585, 1617) at 13-Sep-2013 11:34:50
Start runing encode (mbh, keyframe-5, devel2013, 2674, 2706) at 13-Sep-2013 11:34:57
Start runing encode (mbh, keyframe-5, devel2013, 2641, 2673) at 13-Sep-2013 11:34:58
Start runing encode (mbh, keyframe-5, devel2013, 2608, 2640) at 13-Sep-2013 11:34:58
Start runing encode (mbh, keyframe-5, devel2013, 2707, 2739) at 13-Sep-2013 11:35:12
Start runing encode (mbh, keyframe-5, devel2013, 2740, 2772) at 13-Sep-2013 11:35:13
Finish runing encode (mbh, keyframe-5, devel2013, 2113, 2145) at 13-Sep-2013 11:35:23
Start runing encode (mbh, keyframe-5, devel2013, 2773, 2805) at 13-Sep-2013 11:35:27
Start runing encode (mbh, keyframe-5, devel2013, 2806, 2838) at 13-Sep-2013 11:35:27
Start runing encode (mbh, keyframe-5, devel2013, 2839, 2871) at 13-Sep-2013 11:35:58
Finish runing encode (mbh, keyframe-5, devel2013, 2344, 2376) at 13-Sep-2013 11:36:13
Start runing encode (mbh, keyframe-5, devel2013, 2872, 2904) at 13-Sep-2013 11:36:14
Finish runing encode (mbh, keyframe-5, devel2013, 1090, 1122) at 13-Sep-2013 11:36:21
Start runing encode (mbh, keyframe-5, devel2013, 2938, 2970) at 13-Sep-2013 11:36:27
Start runing encode (mbh, keyframe-5, devel2013, 2905, 2937) at 13-Sep-2013 11:36:28
Start runing encode (mbh, keyframe-5, devel2013, 3037, 3069) at 13-Sep-2013 11:36:43
Start runing encode (mbh, keyframe-5, devel2013, 3004, 3036) at 13-Sep-2013 11:36:44
Finish runing encode (mbh, keyframe-5, devel2013, 1255, 1287) at 13-Sep-2013 11:36:56
Finish runing encode (mbh, keyframe-5, devel2013, 2377, 2409) at 13-Sep-2013 11:37:13
Start runing encode (mbh, keyframe-5, devel2013, 3070, 3102) at 13-Sep-2013 11:37:13
Start runing encode (mbh, keyframe-5, devel2013, 3103, 3135) at 13-Sep-2013 11:37:16
Finish runing encode (mbh, keyframe-5, devel2013, 2146, 2178) at 13-Sep-2013 11:37:48
Finish runing encode (mbh, keyframe-5, devel2013, 1552, 1584) at 13-Sep-2013 11:37:57
Start runing encode (mbh, keyframe-5, devel2013, 3136, 3168) at 13-Sep-2013 11:37:57
Start runing encode (mbh, keyframe-5, devel2013, 3169, 3201) at 13-Sep-2013 11:37:58
Start runing encode (mbh, keyframe-5, devel2013, 3202, 3234) at 13-Sep-2013 11:38:12
Finish runing encode (mbh, keyframe-5, devel2013, 1816, 1848) at 13-Sep-2013 11:38:13
Finish runing encode (mbh, keyframe-5, devel2013, 1519, 1551) at 13-Sep-2013 11:38:16
Finish runing encode (mbh, keyframe-5, devel2013, 2443, 2475) at 13-Sep-2013 11:38:21
Start runing encode (mbh, keyframe-5, devel2013, 3235, 3267) at 13-Sep-2013 11:38:27
Start runing encode (mbh, keyframe-5, devel2013, 3268, 3300) at 13-Sep-2013 11:38:42
Start runing encode (mbh, keyframe-5, devel2013, 3301, 3333) at 13-Sep-2013 11:38:43
Finish runing encode (mbh, keyframe-5, devel2013, 1948, 1980) at 13-Sep-2013 11:38:54
Finish runing encode (mbh, keyframe-5, devel2013, 1288, 1320) at 13-Sep-2013 11:38:55
Finish runing encode (mbh, keyframe-5, devel2013, 2212, 2244) at 13-Sep-2013 11:38:56
Finish runing encode (mbh, keyframe-5, devel2013, 2509, 2541) at 13-Sep-2013 11:39:05
Finish runing encode (mbh, keyframe-5, devel2013, 925, 957) at 13-Sep-2013 11:39:07
Finish runing encode (mbh, keyframe-5, devel2013, 2311, 2343) at 13-Sep-2013 11:39:09
Start runing encode (mbh, keyframe-5, devel2013, 3367, 3399) at 13-Sep-2013 11:39:12
Start runing encode (mbh, keyframe-5, devel2013, 3334, 3366) at 13-Sep-2013 11:39:13
Start runing encode (mbh, keyframe-5, devel2013, 3400, 3432) at 13-Sep-2013 11:39:14
Start runing encode (mbh, keyframe-5, devel2013, 3433, 3465) at 13-Sep-2013 11:39:27
Start runing encode (mbh, keyframe-5, devel2013, 3499, 3531) at 13-Sep-2013 11:39:28
Start runing encode (mbh, keyframe-5, devel2013, 3466, 3498) at 13-Sep-2013 11:39:28
Start runing encode (mbh, keyframe-5, devel2013, 3532, 3564) at 13-Sep-2013 11:39:44
Start runing encode (mbh, keyframe-5, devel2013, 3565, 3597) at 13-Sep-2013 11:39:57
Start runing encode (mbh, keyframe-5, devel2013, 3631, 3663) at 13-Sep-2013 11:40:12
Start runing encode (mbh, keyframe-5, devel2013, 3598, 3630) at 13-Sep-2013 11:40:13
Start runing encode (mbh, keyframe-5, devel2013, 3664, 3696) at 13-Sep-2013 11:40:15
Start runing encode (mbh, keyframe-5, devel2013, 3730, 3762) at 13-Sep-2013 11:40:30
Start runing encode (mbh, keyframe-5, devel2013, 3697, 3729) at 13-Sep-2013 11:40:30
Start runing encode (mbh, keyframe-5, devel2013, 3763, 3795) at 13-Sep-2013 11:40:43
Start runing encode (mbh, keyframe-5, devel2013, 3796, 3828) at 13-Sep-2013 11:40:57
Finish runing encode (mbh, keyframe-5, devel2013, 1222, 1254) at 13-Sep-2013 11:41:00
Finish runing encode (mbh, keyframe-5, devel2013, 1189, 1221) at 13-Sep-2013 11:41:10
Finish runing encode (mbh, keyframe-5, devel2013, 2773, 2805) at 13-Sep-2013 11:41:13
Finish runing encode (mbh, keyframe-5, devel2013, 3004, 3036) at 13-Sep-2013 11:41:27
Start runing encode (mbh, keyframe-5, devel2013, 3862, 3894) at 13-Sep-2013 11:41:28
Start runing encode (mbh, keyframe-5, devel2013, 3829, 3861) at 13-Sep-2013 11:41:28
Start runing encode (mbh, keyframe-5, devel2013, 3895, 3927) at 13-Sep-2013 11:41:42
Start runing encode (mbh, keyframe-5, devel2013, 3961, 3993) at 13-Sep-2013 11:41:42
Finish runing encode (mbh, keyframe-5, devel2013, 2080, 2112) at 13-Sep-2013 11:41:45
Start runing encode (mbh, keyframe-5, devel2013, 3994, 4026) at 13-Sep-2013 11:41:57
Finish runing encode (mbh, keyframe-5, devel2013, 958, 990) at 13-Sep-2013 11:42:00
Finish runing encode (mbh, keyframe-5, devel2013, 1750, 1782) at 13-Sep-2013 11:42:08
Finish runing encode (mbh, keyframe-5, devel2013, 1354, 1386) at 13-Sep-2013 11:42:11
Start runing encode (mbh, keyframe-5, devel2013, 4060, 4092) at 13-Sep-2013 11:42:13
Start runing encode (mbh, keyframe-5, devel2013, 4093, 4125) at 13-Sep-2013 11:42:27
Start runing encode (mbh, keyframe-5, devel2013, 4126, 4158) at 13-Sep-2013 11:42:28
Finish runing encode (mbh, keyframe-5, devel2013, 2245, 2277) at 13-Sep-2013 11:42:36
Start runing encode (mbh, keyframe-5, devel2013, 4159, 4191) at 13-Sep-2013 11:42:43
Start runing encode (mbh, keyframe-5, devel2013, 4192, 4224) at 13-Sep-2013 11:42:57
Start runing encode (mbh, keyframe-5, devel2013, 4225, 4257) at 13-Sep-2013 11:42:59
Finish runing encode (mbh, keyframe-5, devel2013, 1321, 1353) at 13-Sep-2013 11:43:25
Start runing encode (mbh, keyframe-5, devel2013, 4291, 4323) at 13-Sep-2013 11:43:28
Start runing encode (mbh, keyframe-5, devel2013, 4258, 4290) at 13-Sep-2013 11:43:29
Finish runing encode (mbh, keyframe-5, devel2013, 2674, 2706) at 13-Sep-2013 11:43:30
Start runing encode (mbh, keyframe-5, devel2013, 4390, 4422) at 13-Sep-2013 11:43:43
Start runing encode (mbh, keyframe-5, devel2013, 4324, 4356) at 13-Sep-2013 11:43:43
Start runing encode (mbh, keyframe-5, devel2013, 4423, 4455) at 13-Sep-2013 11:43:44
Start runing encode (mbh, keyframe-5, devel2013, 4357, 4389) at 13-Sep-2013 11:43:44
Finish runing encode (mbh, keyframe-5, devel2013, 2608, 2640) at 13-Sep-2013 11:43:48
Finish runing encode (mbh, keyframe-5, devel2013, 1057, 1089) at 13-Sep-2013 11:43:53
