Start runing encode (mbh, subshot_060_1.0, dev11, 1117, 1152) at 05-Aug-2013 17:21:02
Start runing encode (mbh, subshot_060_1.0, dev11, 253, 288) at 05-Aug-2013 17:21:02
Start runing encode (mbh, subshot_060_1.0, dev11, 829, 864) at 05-Aug-2013 17:21:02SStart runing encode (mbh, subshot_060_1.0, dev11, 181, 216) at 05-Aug-2013 17:21:02
Start runing encode (mbh, subshot_060_1.0, dev11, 469, 504) at 05-Aug-2013 17:21:02
Start runing encode (mbh, subshot_060_1.0, dev11, 37, 72) at 05-Aug-2013 17:21:02
:0StStart runing encode (mbh, subshot_060_1.0, dev11, 289, 324) at 05-Aug-2013 17:21:0Start runing encode (mbh, subshot_060_1.0, dev11, 1081, 1116) at 05-Aug-2013 17:21:02
Start runing encode (mbh, subshot_060_1.0, dev11, 613, 648) at 05-Aug-2013 17:21:02
:0StStart runing encode (mbh, subshot_060_1.0, dev11, 757, 792) at 05-Aug-2013 17:21:0StStart runing encode (mbh, subshot_060_1.0, dev11, 1045, 1080) at 05-Aug-2013 17:21StarStart runing encode (mbh, subshot_060_1.0, dev11, 1, 36) at 05-Aug-2013 17:21:02StStart runing encode (mbh, subshot_060_1.0, dev11, 721, 756) at 05-Aug-2013 17:21:0Start runing encode (mbh, subshot_060_1.0, dev11, 1225, 1260) at 05-Aug-2013 17:21:02
Finish runing encode (mbh, subshot_060_1.0, dev11, 577, 612) at 05-Aug-2013 17:32:15
Start runing encode (mbh, subshot_060_1.0, dev11, 1297, 1332) at 05-Aug-2013 17:32:27
Finish runing encode (mbh, subshot_060_1.0, dev11, 793, 828) at 05-Aug-2013 17:32:30
Finish runing encode (mbh, subshot_060_1.0, dev11, 685, 720) at 05-Aug-2013 17:32:31
Finish runing encode (mbh, subshot_060_1.0, dev11, 829, 864) at 05-Aug-2013 17:32:39
Start runing encode (mbh, subshot_060_1.0, dev11, 1333, 1368) at 05-Aug-2013 17:32:40
Start runing encode (mbh, subshot_060_1.0, dev11, 1369, 1404) at 05-Aug-2013 17:32:41
Finish runing encode (mbh, subshot_060_1.0, dev11, 613, 648) at 05-Aug-2013 17:32:48
Finish runing encode (mbh, subshot_060_1.0, dev11, 1, 36) at 05-Aug-2013 17:32:51
Start runing encode (mbh, subshot_060_1.0, dev11, 1405, 1440) at 05-Aug-2013 17:32:55
Start runing encode (mbh, subshot_060_1.0, dev11, 1441, 1476) at 05-Aug-2013 17:32:55
Start runing encode (mbh, subshot_060_1.0, dev11, 1477, 1512) at 05-Aug-2013 17:32:55
Finish runing encode (mbh, subshot_060_1.0, dev11, 757, 792) at 05-Aug-2013 17:33:12
Finish runing encode (mbh, subshot_060_1.0, dev11, 901, 936) at 05-Aug-2013 17:33:26
Start runing encode (mbh, subshot_060_1.0, dev11, 1513, 1548) at 05-Aug-2013 17:33:27
Finish runing encode (mbh, subshot_060_1.0, dev11, 469, 504) at 05-Aug-2013 17:33:32
Finish runing encode (mbh, subshot_060_1.0, dev11, 1117, 1152) at 05-Aug-2013 17:33:35
Finish runing encode (mbh, subshot_060_1.0, dev11, 1261, 1296) at 05-Aug-2013 17:33:38
Start runing encode (mbh, subshot_060_1.0, dev11, 1621, 1656) at 05-Aug-2013 17:33:40
Start runing encode (mbh, subshot_060_1.0, dev11, 1585, 1620) at 05-Aug-2013 17:33:40
Start runing encode (mbh, subshot_060_1.0, dev11, 1549, 1584) at 05-Aug-2013 17:33:41
Finish runing encode (mbh, subshot_060_1.0, dev11, 253, 288) at 05-Aug-2013 17:33:41
Finish runing encode (mbh, subshot_060_1.0, dev11, 649, 684) at 05-Aug-2013 17:33:42
Finish runing encode (mbh, subshot_060_1.0, dev11, 1045, 1080) at 05-Aug-2013 17:33:45
Finish runing encode (mbh, subshot_060_1.0, dev11, 1081, 1116) at 05-Aug-2013 17:33:48
Start runing encode (mbh, subshot_060_1.0, dev11, 1657, 1692) at 05-Aug-2013 17:33:55
Start runing encode (mbh, subshot_060_1.0, dev11, 1693, 1728) at 05-Aug-2013 17:33:55
Start runing encode (mbh, subshot_060_1.0, dev11, 1729, 1764) at 05-Aug-2013 17:33:55
Finish runing encode (mbh, subshot_060_1.0, dev11, 325, 360) at 05-Aug-2013 17:33:57
Finish runing encode (mbh, subshot_060_1.0, dev11, 1153, 1188) at 05-Aug-2013 17:34:06
Finish runing encode (mbh, subshot_060_1.0, dev11, 937, 972) at 05-Aug-2013 17:34:08
Start runing encode (mbh, subshot_060_1.0, dev11, 1801, 1836) at 05-Aug-2013 17:34:10
Start runing encode (mbh, subshot_060_1.0, dev11, 1765, 1800) at 05-Aug-2013 17:34:10
Start runing encode (mbh, subshot_060_1.0, dev11, 1837, 1872) at 05-Aug-2013 17:34:12
Finish runing encode (mbh, subshot_060_1.0, dev11, 289, 324) at 05-Aug-2013 17:34:15
Finish runing encode (mbh, subshot_060_1.0, dev11, 109, 144) at 05-Aug-2013 17:34:25
Start runing encode (mbh, subshot_060_1.0, dev11, 1909, 1944) at 05-Aug-2013 17:34:25
Start runing encode (mbh, subshot_060_1.0, dev11, 1873, 1908) at 05-Aug-2013 17:34:26
Finish runing encode (mbh, subshot_060_1.0, dev11, 1009, 1044) at 05-Aug-2013 17:34:27
Finish runing encode (mbh, subshot_060_1.0, dev11, 721, 756) at 05-Aug-2013 17:34:27
Finish runing encode (mbh, subshot_060_1.0, dev11, 541, 576) at 05-Aug-2013 17:34:47
Start runing encode (mbh, subshot_060_1.0, dev11, 1945, 1980) at 05-Aug-2013 17:34:55
Finish runing encode (mbh, subshot_060_1.0, dev11, 37, 72) at 05-Aug-2013 17:35:00
Finish runing encode (mbh, subshot_060_1.0, dev11, 217, 252) at 05-Aug-2013 17:35:04
Finish runing encode (mbh, subshot_060_1.0, dev11, 433, 468) at 05-Aug-2013 17:35:04
Start runing encode (mbh, subshot_060_1.0, dev11, 1981, 2016) at 05-Aug-2013 17:35:10
